,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12285,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19907668.0,19907668.0,False,,1,,,,2025-08-17T15:01:00.000Z,118236.92880336219,45344625751.41973,-24.0563,-0.20285577,0.30589196,-0.48001526,0.07712366,12.93845084,13.31218011,2353821523956.9717,58.541,2482975504870.61,,2025-08-17T15:01:00.000Z,,,,,,2025-08-17 17:03:26.393686
1,1027,Ethereum,ETH,ethereum,10442,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120707874.00238802,120707874.00238802,True,,2,,,,2025-08-17T15:02:00.000Z,4557.358272767247,27693280862.135227,-36.4734,0.41675369,3.11025743,8.14925243,27.16197618,81.55004881,86.20925554,550109028172.9296,13.6833,550109028172.93,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
2,52,XRP,XRP,xrp,1674,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59418500720.0,99985837887.0,False,,3,,,,2025-08-17T15:02:00.000Z,3.118997688513884,3189762234.2838106,-45.9622,-0.35131085,0.14771204,-2.53573714,-9.79773319,45.33404541,32.92345081,185326166400.64053,4.6098,311899768851.39,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
3,825,Tether USDt,USDT,tether,141698,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem']",,166657763574.19937,168749161109.49985,True,,4,,,,2025-08-17T15:01:00.000Z,1.000463957477362,75922705907.1576,-29.7711,-0.00817955,-0.01497071,0.03203164,0.00999708,0.02944651,0.02271918,166735085689.77005,4.1468,168827453544.6,,2025-08-17T15:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-08-17 17:03:26.393686
4,1839,BNB,BNB,bnb,2665,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139287664.06,139287664.06,False,,5,,,,2025-08-17T15:02:00.000Z,858.4729966193787,2167434991.905336,-6.7607,-0.0017926,2.77257634,7.10613704,14.86692733,33.53393187,33.29122308,119574698357.70154,2.9743,119574698357.7,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
5,5426,Solana,SOL,solana,969,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,539946372.8220351,607616479.5976049,True,,6,525236893.3,101846512263.38748,,2025-08-17T15:01:00.000Z,193.90586145519623,3585856100.369752,-39.6218,0.285111,2.60335744,6.79899764,8.62531821,33.3563326,18.4184765,104698766561.66527,2.6039,117820396910.75,,2025-08-17T15:01:00.000Z,,,,,,2025-08-17 17:03:26.393686
6,3408,USDC,USDC,usd-coin,30566,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem']",,68171360884.34396,68171360884.34396,False,,7,60901219650.23,60899023559.70798,,2025-08-17T15:02:00.000Z,0.9999639401224698,8851489056.94932,-38.6707,-0.00870005,-0.00042857,0.00067116,0.0158906,0.00269745,0.01667479,68168902633.41941,1.6956,68168902633.42,,2025-08-17T15:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-08-17 17:03:26.393686
7,74,Dogecoin,DOGE,dogecoin,1270,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,150556326383.70526,150556326383.70526,True,,8,,,,2025-08-17T15:02:00.000Z,0.23476351002630197,1651992155.6758764,-39.6311,0.07802846,2.34858125,0.50811422,-3.51056237,40.10424406,6.42290873,35345131638.50418,0.8792,35345131638.5,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
8,2010,Cardano,ADA,cardano,1562,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35609095291.32136,44993664451.7522,False,,9,37997904336.0,36754302776.74218,,2025-08-17T15:02:00.000Z,0.9672718382503109,2065938820.061381,-33.3047,-0.61895456,5.70739874,20.70231238,15.38301491,62.16976386,31.87032197,34443675060.8669,0.8567,43527232721.26,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
9,1958,TRON,TRX,tron,1215,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94682013232.5766,94682018525.59242,True,,10,71659659264.0,25235609916.66002,,2025-08-17T15:02:00.000Z,0.35215922285773066,802784193.357419,-37.6114,0.16178017,1.79876558,3.32316514,7.23781576,30.40279492,32.73234604,33343144198.589546,0.8294,33343146062.57,,2025-08-17T15:02:00.000Z,,,,,,2025-08-17 17:03:26.393686
